货号,活动价格,成本价格,备注
C-CI-010-US-Purple,25,20,卷发棒led紫色
C-CI-010-US-Pink,25,20,卷发棒led粉色
T-WZ-T9-BK,6.69,5.03,T9环保款黑色
T-WZ-T9-BZ,6.89,5.43,T9环保款古铜
T-WZ-T9-GD,6.79,5.23,T9环保款金色
M-XY-C10-18BK,65,55,多头筋膜枪18头黑色
M-XY-C10-20BK,75,65,多头筋膜枪20头黑色
M-KX-325-WH,25,20,按摩器单头按摩棒白色
H-DA-j520-BU,20,15.5,不锈钢搅拌杯蓝色
H-DA-j520-PK,20,15.5,不锈钢搅拌杯粉色
H-DA-j520-WH,20,15.5,不锈钢搅拌杯白色
T-H01-J5BK,10.5,7.2,J5螺旋纹黑色
T-H01-J5GD,10.5,7.2,J5螺旋纹金色
T-H01-J5WH,10.5,7.2,J5螺旋纹白色
T-H01-J5RGD,10.5,7.2,J5螺旋纹玫瑰金
T-H01-WZT9BK,4.5,4,T9普通黑色
T-H01-WZT9BZ,6.5,4.4,T9普通古铜
T-H01-WZT9GD,6.5,4.2,T9普通金色
C-HY100-PU22,35,27,HY100紫色22
C-HY100-PU28,35,28,HY100紫色28
C-HY100-BK22,35,27,HY100黑色22
C-HY100-BK28,35,28,HY100黑色28
C-RW-T660-BU,45,38,夹板3合1无线替换蓝色
C-RW-T660-PK,45,38,夹板3合1无线替换粉色
M-YX-720PK,35,27,按摩器推脂机震动粉色
M-YX-720BK,35,27,按摩器推脂机震动黑色
M-YX-720WH,35,27,按摩器推脂机震动白色
S-EC-A01_BK,35,24,夹板单排气孔褶皱
T-SS-810BR,30,22,剃毛器单纽棕色
T-SS-810PK,30,22,剃毛器单纽粉色
C-CI-008-EU-PK,25,19,卷发棒按钮粉色
C-CI-008-EU-PU,25,19,卷发棒按钮紫色
M-BK-BG,25,20,按摩器刮痧拔罐
S-CH-EU-GD01,25,15,直发器铜梳金色
S-CH-EU-PU01,25,15,直发器铜梳紫色
S-CH-EU-BK01,25,15,直发器铜梳黑色
S-CH-EU-PU02,25,15,直发器铜梳紫色
S-CH-EU-GD02,25,15,直发器铜梳金色
S-CH-EU-BK02,25,15,直发器铜梳黑色
T-YW-T9-GD,6.59,4.2,T9普通款金色
T-YW-T9-BZ,6.69,4.4,T9普通款古铜
T-YW-T9-BK,6.49,4,T9普通款黑色
T-AZB601-BU,28,18,MINI剃须刀蓝色
T-AZB601-SL,28,18,MINI剃须刀银色
T-AZB601-GE,28,18,MINI剃须刀绿色
T-AZB601-GR,28,18,MINI剃须刀枪色
T-RH6668-BK,38,31,削发器黑色
T-RH6668-PU,38,31,削发器紫色
T-RH6668-SL,38,31,削发器银色
T-RH6668-RD,38,31,削发器红色
T-T09-SY,25,17,理发器鲨鱼
T-T09-SG,18.65,17,理发器帅哥
T-T09-LN,25,17,理发器龙
T-T09-FH,25,17,理发器凤凰
NT-H01-GR,20,12,三色单头剃须刀绿色
NT-H01-PU,20,12,三色单头剃须刀紫色
NT-H01-GY,20,12,三色单头剃须刀灰色
NT-AZB601-GY,28,18,mini剃须刀灰色
NT-AZB601-BU,28,18,mini剃须刀蓝色
NT-AZB601-GR,28,18,mini剃须刀绿色
NT-AZB601-SL,28,18,mini剃须刀银色
H-KYM-BG,35,28,套娃洗衣机
H-KYM-BU,35,28,套娃洗衣机
M-SL-M01,35,26,按摩器刮痧微电流
PT-H01-ONEGE,15,12,三色单头剃须刀绿色
PT-H01-ONEPU,15,12,三色单头剃须刀紫色
PT-H01-ONEBK,15,12,三色单头剃须刀黑色
WZ-T9-Y11,4.5,4,Y1黑色
WZ-T9-Y12,4.5,4,Y2黑色
WZ-T9-Y13,6.5,4.2,Y1金色
WZ-T9-Y21,6.5,4.2,Y2金色
WZ-T9-Y22,6.5,4.4,Y1古铜色
WZ-T9-Y23,6.5,4.4,Y2古铜色
T-XJH-908-WH,25,23,mini削发器白色
T-XJH-908-BK,25,23,mini削发器黑色
T-XJH-908-PK,25,23,mini削发器粉色
T-XJH-908-RD,25,23,mini削发器红色
C-XZWD-706-WH,56.7,40,706
C-XZWD-706-GR,56.7,40,706
S-YX-885-BK,33.6,22.5,S7
S-YX-885-WH,33.6,22.5,S7
